Nome da Notícia,Link da Matéria
Estudo com IA revela que existem dois tipos de câncer de próstata,https://www.cnnbrasil.com.br/saude/estudo-com-ia-revela-que-existem-dois-tipos-de-cancer-de-prostata/
,https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/onde-comer/5-restaurantes-em-sp-recentemente-visitados-e-aprovados-por-daniela-filomeno/
Cinco restaurantes em São Paulo recentemente visitados e aprovados por Daniela Filomeno,https://www.cnnbrasil.com.br/viagemegastronomia/gastronomia/onde-comer/5-restaurantes-em-sp-recentemente-visitados-e-aprovados-por-daniela-filomeno/
Ver mais em Últimas Notícias,https://www.cnnbrasil.com.br/ultimas-noticias/
Netanyahu diz que Israel seguirá com ofensiva contra o Hamas,https://www.cnnbrasil.com.br/internacional/netanyahu-diz-que-israel-seguira-com-ofensiva-contra-o-hamas-incluindo-em-rafah/
Voo atrasa mais de 4 horas após passageiro jogar moedas no motor,https://www.cnnbrasil.com.br/internacional/china-voo-atrasa-mais-de-quatro-horas-apos-passageiro-jogar-moedas-no-motor/
Garoto surpreendido por leopardo prende o animal e consegue fugir,https://www.cnnbrasil.com.br/internacional/garoto-surpreendido-por-leopardo-age-rapido-prende-o-animal-e-consegue-fugir-assista/
Rússia avisa EUA que expulsará diplomatas em caso de interferência,https://www.cnnbrasil.com.br/internacional/russia-avisa-embaixador-dos-eua-que-expulsara-diplomatas-caso-interfiram-em-seus-assuntos-internos/
Ganhadores do Nobel alertam Milei contra cortes na ciência,https://www.cnnbrasil.com.br/internacional/quase-70-ganhadores-do-nobel-enviam-carta-a-milei-alertando-contra-ciencia-a-beira-do-precipicio/
Mais Internacional,https://www.cnnbrasil.com.br/internacional
Polícia investiga nova denúncia contra mascote do Inter,https://www.cnnbrasil.com.br/nacional/policia-investiga-nova-denuncia-de-importunacao-sexual-contra-mascote-do-inter/
Verstappen defende pai após polêmica: “Ele não é mentiroso”,https://www.cnnbrasil.com.br/esportes/verstappen-defende-pai-em-polemica-com-chefe-da-red-bull-ele-nao-e-mentiroso/
Neymar vai comprar o Santos? Presidente do clube não descarta,https://www.cnnbrasil.com.br/esportes/neymar-vai-comprar-o-santos-presidente-do-clube-nao-descarta/
"Ceni compara meia do Bahia a jogador do Bayern: ""Principal peça""",https://www.cnnbrasil.com.br/esportes/ceni-compara-meia-do-bahia-a-jogador-do-bayern-principal-peca/
Brasil x EUA: horário e onde assistir à final da Copa Ouro,https://www.cnnbrasil.com.br/esportes/brasil-x-estados-unidos-data-horario-e-onde-assistir-a-final-da-copa-ouro/
Mais Esportes,https://www.cnnbrasil.com.br/esportes
"Gisele se emociona ao falar sobre divórcio: ""Vivendo minha verdade""",https://www.cnnbrasil.com.br/entretenimento/gisele-bundchen-se-emociona-ao-falar-sobre-divorcio-vivendo-minha-verdade/
Preta Gil revela motivação para terminar casamento,https://www.cnnbrasil.com.br/entretenimento/preta-gil-revela-motivacao-para-terminar-casamento-estava-em-uma-uti/
Veja imagens de Wagner Moura e Kirsten Dunst em “Guerra Civil”,https://www.cnnbrasil.com.br/entretenimento/veja-novas-imagens-de-wagner-moura-e-kirsten-dunst-em-guerra-civil/
“Rebelde”: segunda temporada chega hoje (7) ao Globoplay,https://www.cnnbrasil.com.br/entretenimento/rebelde-segunda-temporada-chega-ao-globoplay-nesta-quinta-7/
Luísa Sonza posa ao lado de Katy Perry e Demi Lovato em prêmio,https://www.cnnbrasil.com.br/entretenimento/luisa-sonza-posa-ao-lado-de-katy-perry-kylie-minogue-e-demi-lovato-em-premiacao/
Mais Pop,https://www.cnnbrasil.com.br/pop
CNN Innovation,https://www.cnnbrasil.com.br/tecnologia/especial-sxsw
SXSW 2024: Brasil pode ter novo recorde de participantes,https://www.cnnbrasil.com.br/tecnologia/sxsw-2024-brasil-pode-ter-novo-recorde-de-participantes/
Robôs professores? “NAO” e “Pepper” são apresentados na SXSW EDU,https://www.cnnbrasil.com.br/tecnologia/robos-professores-nao-e-pepper-sao-apresentados-na-sxsw-edu/
CNN Brasil marca presença inédita no SXSW com estúdio direto de Austin,https://www.cnnbrasil.com.br/tecnologia/cnn-brasil-marca-presenca-inedita-no-sxsw-com-estudio-direto-de-austin/
SXSW 2024 terá debate sobre igualdade em saúde com participação brasileira,https://www.cnnbrasil.com.br/tecnologia/sxsw-2024-tera-debate-sobre-igualdade-em-saude-com-participacao-brasileira/
Economia,https://www.cnnbrasil.com.br/economia/
"Conscientização do investidor é “passo final” para debêntures de infraestrutura decolarem, diz gestora do Inter à CNN",https://www.cnnbrasil.com.br/economia/macroeconomia/conscientizacao-do-investidor-e-passo-final-para-debentures-de-infraestrutura-decolarem-diz-gestora-do-inter-a-cnn/
